(test_roc_auc , test_accuracy , val_accuracy , val_loss , dir_name)
 (0.89870179, 0.81612, 0.814875  ,  0.39173848, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.001_decay_0.9_batch_128_epochs_35_hidden_40_Njets_40000_features_7')
 (0.89714825, 0.81512, 0.8193125 ,  0.39037761, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.002_decay_0.8_batch_128_epochs_35_hidden_40_Njets_40000_features_7')
 (0.89676898, 0.81382, 0.81804435,  0.39225221, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.005_decay_0.9_batch_512_epochs_35_hidden_40_Njets_40000_features_7')
 (0.89482652, 0.81124, 0.81583921,  0.39224739, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.005_decay_0.8_batch_256_epochs_35_hidden_40_Njets_40000_features_7')
 (0.89452031, 0.81375, 0.8168125 ,  0.39296394, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.002_decay_0.7_batch_64_epochs_30_hidden_40_Njets_40000_features_7')
 (0.89347911, 0.81088, 0.815625  ,  0.39627584, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.001_decay_0.8_batch_64_epochs_35_hidden_40_Njets_40000_features_7')
 (0.89313211, 0.8085 , 0.8140625 ,  0.40513943, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.01_decay_0.9_batch_64_epochs_35_hidden_40_Njets_40000_features_7')
 (0.89159976, 0.80869, 0.8129375 ,  0.39936637, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.005_decay_0.7_batch_128_epochs_30_hidden_40_Njets_40000_features_7')
 (0.89103068, 0.80941, 0.81376008,  0.40063231, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.01_decay_0.8_batch_256_epochs_35_hidden_40_Njets_40000_features_7')
 (0.88949458, 0.80731, 0.8101875 ,  0.40302388, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.01_decay_0.8_batch_128_epochs_35_hidden_40_Njets_40000_features_7')
 (0.88941543, 0.80929, 0.80752268,  0.40456485, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.001_decay_0.9_batch_256_epochs_35_hidden_40_Njets_40000_features_7')
 (0.8885958 , 0.80556, 0.8105    ,  0.40255282, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.005_decay_0.7_batch_64_epochs_30_hidden_40_Njets_40000_features_7')
 (0.88774678, 0.80449, 0.80813802,  0.40229864, 'simple_rnn_kt_top_qcd/h_dim__lr_0.005_decay_0.9_batch_1024_epochs_30_hidden_80_Njets_40000_features_7')
 (0.8863443 , 0.80225, 0.808375  ,  0.40637734, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.002_decay_0.7_batch_128_epochs_30_hidden_40_Njets_40000_features_7')
 (0.88575966, 0.80141, 0.80979083,  0.40391031, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.01_decay_0.9_batch_512_epochs_35_hidden_40_Njets_40000_features_7')
 (0.88550483, 0.80488, 0.8093498 ,  0.40657213, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.002_decay_0.9_batch_512_epochs_35_hidden_40_Njets_40000_features_7')
 (0.8851969 , 0.80106, 0.80575   ,  0.40921604, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.001_decay_0.8_batch_128_epochs_35_hidden_40_Njets_40000_features_7')
 (0.88518694, 0.801  , 0.808375  ,  0.40874617, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.01_decay_0.8_batch_64_epochs_35_hidden_40_Njets_40000_features_7')
 (0.88490199, 0.80047, 0.81010585,  0.40801187, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.002_decay_0.8_batch_256_epochs_35_hidden_40_Njets_40000_features_7')
 (0.88323261, 0.80215, 0.80110677,  0.41757678, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.005_decay_0.9_batch_1024_epochs_35_hidden_40_Njets_40000_features_7')
 (0.88303544, 0.80234, 0.80052083,  0.41793002, 'simple_rnn_kt_top_qcd/h_dim__lr_0.005_decay_0.9_batch_1024_epochs_30_hidden_40_Njets_40000_features_7')
 (0.8828534 , 0.79851, 0.80531754,  0.40936069, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.005_decay_0.7_batch_256_epochs_30_hidden_40_Njets_40000_features_7')
 (0.88080153, 0.79733, 0.80143229,  0.41721211, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.002_decay_0.9_batch_1024_epochs_35_hidden_40_Njets_40000_features_7')
 (0.88076411, 0.79788, 0.8016875 ,  0.41684765, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.0005_decay_0.7_batch_64_epochs_30_hidden_40_Njets_40000_features_7')
 (0.88074603, 0.80012, 0.803     ,  0.41374378, 'simple_rnn_kt_top_qcd/h_dim__lr_0.002_decay_0.7_batch_64_epochs_30_hidden_20_Njets_40000_features_7')
 (0.87911394, 0.79517, 0.80128528,  0.41786365, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.005_decay_0.8_batch_512_epochs_35_hidden_40_Njets_40000_features_7')
 (0.87867052, 0.79851, 0.80298639,  0.41936507, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.01_decay_0.7_batch_256_epochs_30_hidden_40_Njets_40000_features_7')
 (0.87864941, 0.79805, 0.79726562,  0.42242253, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.01_decay_0.9_batch_1024_epochs_35_hidden_40_Njets_40000_features_7')
 (0.87844359, 0.79719, 0.799875  ,  0.41903042, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.01_decay_0.7_batch_128_epochs_30_hidden_40_Njets_40000_features_7')
 (0.87775087, 0.79486, 0.80185232,  0.42039436, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.002_decay_0.7_batch_256_epochs_30_hidden_40_Njets_40000_features_7')
 (0.8776131 , 0.797  , 0.79901714,  0.41688373, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.001_decay_0.9_batch_512_epochs_35_hidden_40_Njets_40000_features_7')
 (0.87669629, 0.79341, 0.79819808,  0.42149253, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.001_decay_0.8_batch_256_epochs_35_hidden_40_Njets_40000_features_7')
 (0.87597921, 0.7915 , 0.8014375 ,  0.42022603, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.01_decay_0.7_batch_64_epochs_30_hidden_40_Njets_40000_features_7')
 (0.87480844, 0.79244, 0.7953125 ,  0.42632554, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.0005_decay_0.7_batch_128_epochs_30_hidden_40_Njets_40000_features_7')
 (0.87339999, 0.79631, 0.79731603,  0.42492812, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.002_decay_0.8_batch_512_epochs_35_hidden_40_Njets_40000_features_7')
 (0.8730109 , 0.79141, 0.79095052,  0.42887   , 'simple_rnn_kt_top_qcd/lr_batch__lr_0.001_decay_0.9_batch_1024_epochs_35_hidden_40_Njets_40000_features_7')
 (0.87155103, 0.79199, 0.79179687,  0.42963732, 'simple_rnn_kt_top_qcd/h_dim__lr_0.005_decay_0.9_batch_1024_epochs_30_hidden_20_Njets_40000_features_7')
 (0.87101873, 0.7895 , 0.79322077,  0.43098814, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.005_decay_0.7_batch_512_epochs_30_hidden_40_Njets_40000_features_7')
 (0.87056554, 0.78841, 0.79042969,  0.43389859, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.002_decay_0.8_batch_1024_epochs_35_hidden_40_Njets_40000_features_7')
 (0.869723  , 0.7878 , 0.79296875,  0.43081086, 'simple_rnn_kt_top_qcd/h_dim__lr_0.002_decay_0.7_batch_256_epochs_30_hidden_20_Njets_40000_features_7')
 (0.86909808, 0.78742, 0.78824345,  0.43328668, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.001_decay_0.8_batch_512_epochs_35_hidden_40_Njets_40000_features_7')
 (0.86862199, 0.78742, 0.79227571,  0.43059328, 'simple_rnn_kt_top_qcd/lr_batch__lr_0.01_decay_0.8_batch_512_epochs_35_hidden_40_Njets_40000_features_7')
